domain,experiment,variant,seed,F1,ApexMAE,OnsetMAE,DurMAE,IntMAPE
elc,optimal_ablation,GS4_cnn_fix,42.0,0.4856049259444167,1.3745716244002741,1.4931459904043867,0.4828649760109664,0.15016659671630872
elc,optimal_ablation,GS4_cnn_fix,456.0,0.6147773105638034,1.1566164154103853,1.2493020658849805,0.48380792853154664,0.16190218023113093
elc,optimal_ablation,GS4_cnn,123.0,0.4763754045307444,1.385529891304348,1.494904891304348,0.5132472826086957,0.13248285544056596
elc,optimal_ablation,GS4_cnn,42.0,0.4856049259444167,1.3745716244002741,1.4931459904043867,0.4828649760109664,0.15016659671630872
elc,optimal_ablation,GS4_cnn,456.0,0.6147773105638034,1.1566164154103853,1.2493020658849805,0.48380792853154664,0.16190218023113093
elc,optimal_ablation,GS4_lstm_fix,123.0,0.569278510473235,1.1695284818751703,1.2019623875715453,0.5254837830471518,0.12366710897839628
elc,optimal_ablation,GS4_lstm_fix,42.0,0.6686547916498751,1.0332690453230473,1.0537608486017358,0.5250723240115719,0.11854340185063864
elc,optimal_ablation,GS4_lstm_fix,456.0,0.6303945993731416,1.0369709331973482,1.1137174910759817,0.5010198878123406,0.11998352290728227
elc,optimal_ablation,GS4_lstm,123.0,0.569278510473235,1.1695284818751703,1.2019623875715453,0.5254837830471518,0.12366710897839628
elc,optimal_ablation,GS4_lstm,42.0,0.6686547916498751,1.0332690453230473,1.0537608486017358,0.5250723240115719,0.11854340185063864
elc,optimal_ablation,GS4_lstm,456.0,0.6303945993731416,1.0369709331973482,1.1137174910759817,0.5010198878123406,0.11998352290728227
elc,optimal_ablation,GS4_scratch,123.0,0.8323292242098433,1.179064587973274,1.2189309576837417,0.4806236080178174,0.10662375896562573
elc,optimal_ablation,GS4_scratch,42.0,0.814006366530241,1.204245810055866,1.1651396648044692,0.5135195530726256,0.10810448726285052
elc,optimal_ablation,GS4_scratch,456.0,0.7831181909731758,1.1980360065466449,1.1559504325461771,0.5211596913724573,0.10875576622006304
elc,optimal_ablation,GS5_detr,123.0,0.6544677212483968,1.0007839038411288,1.6090932845570944,0.5145022210608832,0.14571352948088667
elc,optimal_ablation,GS5_detr,42.0,0.5852210061932638,1.0115975645114526,2.137431139460713,0.7065816178602493,0.1292805517575392
elc,optimal_ablation,GS5_detr,456.0,0.5539287457296243,1.0161527165932451,2.144199706314244,0.5348017621145374,0.12890250810094583
elc,p1_ablation,GP1a_wo_has_apex,123.0,0.8016747064712841,1.0547229791099,1.1130790190735695,0.49659400544959126,0.1014862980887913
elc,p1_ablation,GP1a_wo_has_apex,42.0,0.808588396528095,1.1265536723163843,1.1459887005649718,0.5206779661016949,0.10635792689552674
elc,p1_ablation,GP1a_wo_has_apex,456.0,0.8051684356252885,1.145346171480972,1.080467675378267,0.5341586428243925,0.10330713952937755
elc,p1_ablation,GP1b_wo_distance,123.0,0.7968376539805111,1.0680664513151823,1.1091370558375635,0.48500230733733274,0.10107270485486075
elc,p1_ablation,GP1b_wo_distance,42.0,0.7492210451348704,1.143773764258555,1.1720532319391634,0.5432509505703422,0.10441573930963843
elc,p1_ablation,GP1b_wo_distance,456.0,0.7763543191800879,1.0973597359735974,1.1254125412541254,0.5198019801980198,0.10232679234922888
elc,p1_ablation,GP1c_wo_phase,123.0,0.767696730147323,1.1598408612216242,1.179265153288088,0.5251579686402995,0.10022241533850702
elc,p1_ablation,GP1c_wo_phase,42.0,0.772599764727174,1.0871398453970484,1.1543687046146638,0.5057390489576014,0.10643857770294243
elc,p1_ablation,GP1c_wo_phase,456.0,0.7946613761385156,1.026327734906945,1.0340444847934636,0.5034044484793464,0.10212259381691399
elc,p1_ablation,GP1d_wo_offset,123.0,0.8008658008658007,1.0222972972972972,1.070045045045045,0.4990990990990991,0.1032632486890672
elc,p1_ablation,GP1d_wo_offset,42.0,0.7779767233661594,1.1086306098964327,1.1327963176064442,0.5054085155350978,0.10237377991323734
elc,p1_ablation,GP1d_wo_offset,456.0,0.7443820224719101,1.0549528301886792,1.084198113207547,0.5158018867924529,0.10216861718699805
elc,p1_ablation,GP1e_generic_npp,123.0,0.8051088854176238,1.240812599863045,1.2038347409267292,0.5338963706916229,0.09965413860994339
elc,p1_ablation,GP1e_generic_npp,42.0,0.8292994794045118,1.1566079295154186,1.1812775330396477,0.5096916299559472,0.1009247244809726
elc,p1_ablation,GP1e_generic_npp,456.0,0.7764317180616741,1.2342789598108748,1.1990543735224586,0.5328605200945626,0.1015558334296151
elc,posreg,G0_posreg,123.0,0.7688900699796262,1.0442396313364055,1.0755760368663594,0.5626728110599079,0.12367346255656436
elc,posreg,G0_posreg,42.0,0.808043194935766,1.0705069124423963,1.1244239631336406,0.48110599078341015,0.12242224293305211
elc,posreg,G0_posreg,456.0,0.7888147674312347,1.1596385542168675,1.2351714550509731,0.5294253938832252,0.12271850149764266
elc,pred168,E5_full,123.0,0.7382618913809841,1.04719723183391,1.0514878892733563,0.5998615916955017,0.10652279137804642
elc,pred168,E5_full,42.0,0.7603548742716153,1.1031483015741508,1.1275890637945318,0.5495719414526374,0.11143488407276247
elc,pred168,E5_full,456.0,0.8095084782142091,1.138273896327721,1.1392019090547527,0.543417738300411,0.10178119058837873
elc,pred336,E5_full,123.0,0.6990361883978905,1.0390961795748477,1.12457261780883,0.5915712799167534,0.11636204403948167
elc,pred336,E5_full,42.0,0.7360176562415891,1.1796240766474073,1.1872303079060924,0.5899948804212682,0.11651023591655571
elc,pred336,E5_full,456.0,0.771338363568256,0.9777993617316498,1.0356597752185375,0.5616761481892605,0.11386407457509302
ett,ar_ablation_v2,GD1_no_pos_mask,123.0,0.017330083942594096,0.8125,1.03125,0.28125,0.29944027704135917
ett,ar_ablation_v2,GD1_no_pos_mask,42.0,0.15245737211634905,0.7828947368421053,0.8519736842105263,0.23355263157894737,0.16809966408108878
ett,ar_ablation_v2,GD1_no_pos_mask,456.0,0.08435303306430617,0.6049382716049383,0.6666666666666666,0.08024691358024691,0.21154934042017187
ett,ar_ablation_v2,GD2_no_pos_smooth,123.0,0.8552120776419844,0.6546738399462004,0.7054472091459314,0.21654337592468056,0.25420199303921637
ett,ar_ablation_v2,GD2_no_pos_smooth,42.0,0.854265573298806,0.6571236106433143,0.706972044459414,0.21151902997642305,0.2730870320630539
ett,ar_ablation_v2,GD2_no_pos_smooth,456.0,0.8566498921639109,0.652903658945955,0.7035918093319906,0.21282309499832158,0.2543709362140182
ett,ar_ablation_v2,GD3_no_attr_weight,123.0,0.8561988220083322,0.62751677852349,0.6751677852348993,0.21610738255033557,0.2886382890716615
ett,ar_ablation_v2,GD3_no_attr_weight,42.0,0.8541816611486972,0.6376811594202898,0.688237276710482,0.21435793731041455,0.2770274284922496
ett,ar_ablation_v2,GD3_no_attr_weight,456.0,0.8564854759850445,0.6339825386165212,0.6813297515110812,0.21356615177971794,0.2862190485611886
ett,ar_ablation_v2,GD4_no_causal,123.0,0.3246175243393602,1.2125107112253641,1.4747215081405314,0.3221936589545844,0.28946494301199405
ett,ar_ablation_v2,GD4_no_causal,42.0,0.18690958164642377,1.6227436823104693,6.0324909747292415,0.35379061371841153,0.24127985347242534
ett,ar_ablation_v2,GD4_no_causal,456.0,0.3219696969696969,1.28868778280543,3.9357466063348414,0.28868778280542984,0.33375368408874356
ett,arch_ablation_v2,G0_full,123.0,0.8545899985588702,0.6408094435075885,0.6903878583473861,0.21315345699831367,0.2518637105556839
ett,arch_ablation_v2,G0_full,42.0,0.8545533016832111,0.6609427609427609,0.7158249158249158,0.21212121212121213,0.27542552446359697
ett,arch_ablation_v2,G0_full,456.0,0.8551307847082494,0.654453781512605,0.7045378151260504,0.213109243697479,0.25326816526648543
ett,arch_ablation_v2,GS1_wo_mempos,123.0,0.8525392029923751,0.6412419844751941,0.6918663516706041,0.2153223084711441,0.28192706815001883
ett,arch_ablation_v2,GS1_wo_mempos,42.0,0.8517559009786989,0.6694829334234539,0.724231159175397,0.21358567083474148,0.3063899436317393
ett,arch_ablation_v2,GS1_wo_mempos,456.0,0.8523741007194245,0.6630654962862931,0.7184334908845375,0.21404456448345713,0.2558148253220928
ett,arch_ablation_v2,GS2_wo_sa,123.0,0.8515478761699065,0.6810957051065268,0.7379100439634765,0.21339195130199526,0.2569823098876965
ett,arch_ablation_v2,GS2_wo_sa,42.0,0.8565267395054629,0.6307485733467607,0.6797583081570997,0.2138301443437395,0.2626589532989786
ett,arch_ablation_v2,GS2_wo_sa,456.0,0.8552574953378281,0.6678966789667896,0.718550821871855,0.21704126132170412,0.25897765359515046
ett,arch_ablation_v2,GS3_bare,123.0,0.8364688856729378,0.6771626297577855,0.7283737024221453,0.21591695501730104,0.3093755850532034
ett,arch_ablation_v2,GS3_bare,42.0,0.8554164868364265,0.7117389841910529,0.770602085435587,0.2122435250588631,0.25606998589670177
ett,arch_ablation_v2,GS3_bare,456.0,0.8450500072474271,0.6624356775300172,0.7156089193825043,0.2137221269296741,0.2726274502494652
ett,arch_ablation_v2,GS4_cnn,123.0,0.8552120776419844,0.624747814391392,0.6731674512441157,0.21385339609952925,0.25452912013830603
ett,arch_ablation_v2,GS4_cnn,42.0,0.8536094334196145,0.6920485175202157,0.7520215633423181,0.21226415094339623,0.24242143307189515
ett,arch_ablation_v2,GS4_cnn,456.0,0.8501581823410987,0.6809878213802436,0.7378213802435724,0.2165087956698241,0.24802210381606493
ett,arch_ablation_v2,GS4_lstm,123.0,0.8515478761699065,0.6726411903956713,0.7284409874873182,0.21474467365573216,0.2588000837358675
ett,arch_ablation_v2,GS4_lstm,42.0,0.8453904789299583,0.6440966315073154,0.692752636951344,0.21810139503232392,0.25422083700928955
ett,arch_ablation_v2,GS4_lstm,456.0,0.849374190763919,0.6399051490514905,0.6941056910569106,0.2130758807588076,0.2633184417948617
ett,arch_ablation_v2,GS4_mlp,123.0,0.8500144216902221,0.6844248388191381,0.7380386834068544,0.2151340346114693,0.2479105104214864
ett,arch_ablation_v2,GS4_mlp,42.0,0.8485981308411215,0.7455099966113182,0.8102338190443917,0.2172145035581159,0.24535158933006
ett,arch_ablation_v2,GS4_mlp,456.0,0.8456433929601846,0.6878198567041965,0.7407028317980211,0.21596724667349027,0.25853261009492773
ett,arch_ablation_v2,GS4_scratch,123.0,0.8541457105906021,0.6958277254374159,0.7516823687752355,0.21534320323014805,0.241734613472272
ett,arch_ablation_v2,GS4_scratch,42.0,0.8507698949489135,0.699255751014885,0.7581190798376184,0.21481732070365359,0.2587297947595289
ett,arch_ablation_v2,GS4_scratch,456.0,0.8489643268124281,0.6499491697729584,0.7024737377160285,0.21687563537783802,0.25683764776210044
ett,arch_ablation_v2,GS5_detr,123.0,0.6676125370824196,0.589644513137558,1.3226429675425038,0.2260432766615147,0.23854915676053334
ett,arch_ablation_v2,GS5_detr,42.0,0.7010503635873956,0.6319631194775259,1.3096427199385325,0.2193622742988859,0.251400424700654
ett,arch_ablation_v2,GS5_detr,456.0,0.6668391101914123,0.5729247478665632,2.1710628394103955,0.2191621411947246,0.22917076373710576
ett,grid_search,w1,123.0,0.8513766757964538,0.6596681341009143,0.7091093802912293,0.21503555706061633,0.25311505095711895
ett,grid_search,w1,42.0,0.8562805403851682,0.6314199395770392,0.6787512588116817,0.2138301443437395,0.24989036960651712
ett,grid_search,w1,456.0,0.8551684422689316,0.6282828282828283,0.6774410774410774,0.2138047138047138,0.3226772824465019
ett,grid_search,w2,123.0,0.8551684422689316,0.6558922558922559,0.7070707070707071,0.21582491582491584,0.2997726586606855
ett,grid_search,w2,42.0,0.8531951640759932,0.6740890688259109,0.7226720647773279,0.2149122807017544,0.2569014035272713
ett,grid_search,w2,456.0,0.8463096960926194,0.6973324213406292,0.7537619699042407,0.2137482900136799,0.27953730256261505
ett,grid_search,w3,123.0,0.8455308070581429,0.7167293876154636,0.7718097844680123,0.216900444748546,0.27441084709289143
